Time (ms),USB Avg Current (mA),USB Avg Power (mW),USB Avg Voltage (V)
225.20,38.205,194.7691,5.098
225.40,27.648,140.8389,5.094
225.60,28.708,146.2386,5.094
225.80,27.6,140.484,5.09
226.00,28.722,146.2524,5.092
226.20,38.237,195.0087,5.1
226.40,27.649,140.9546,5.098
226.60,28.745,146.427,5.094
226.80,27.569,140.3813,5.092
227.00,28.811,146.4175,5.082
227.20,38.116,193.9342,5.088
227.40,27.659,140.7843,5.09
227.60,28.727,146.2204,5.09
227.80,27.588,140.4781,5.092
228.00,28.875,146.685,5.08
228.20,38.075,194.1825,5.1
228.40,27.693,141.2343,5.1
228.60,28.72,146.472,5.1
228.80,27.615,140.8365,5.1
229.00,28.875,146.9738,5.09
229.20,38.066,194.0605,5.098
229.40,27.625,140.8875,5.1
229.60,28.701,146.3177,5.098
229.80,27.631,140.8628,5.098
230.00,28.907,147.0788,5.088
230.20,38.006,193.6786,5.096
230.40,27.66,140.9554,5.096
230.60,28.738,146.4489,5.096
230.80,27.583,140.5078,5.094
231.00,28.973,147.3567,5.086
231.20,37.982,193.4803,5.094
231.40,27.657,140.8848,5.094
231.60,28.731,146.2983,5.092
231.80,27.631,140.6418,5.09
232.00,29.017,147.8126,5.094
232.20,37.944,193.3626,5.096
232.40,27.666,140.9859,5.096
232.60,28.723,146.6022,5.104
232.80,27.608,140.856,5.102
233.00,29.081,148.0223,5.09
233.20,37.935,193.4685,5.1
233.40,27.638,140.9538,5.1
233.60,28.761,146.6811,5.1
233.80,27.578,140.6478,5.1
234.00,29.11,148.1699,5.09
234.20,37.865,192.8843,5.094
234.40,27.664,140.9204,5.094
234.60,28.767,146.5391,5.094
234.80,27.569,140.3262,5.09
235.00,29.148,148.1301,5.082
235.20,37.791,192.7341,5.1
235.40,27.66,140.8447,5.092
235.60,28.761,146.7386,5.102
235.80,27.584,140.6232,5.098
236.00,29.19,148.4603,5.086
236.20,37.729,191.9651,5.088
236.40,27.652,140.804,5.092
236.60,28.741,146.6366,5.102
236.80,27.61,140.5901,5.092
237.00,29.223,148.4528,5.08
237.20,37.729,192.4179,5.1
237.40,27.582,140.4476,5.092
237.60,28.77,146.5544,5.094
237.80,27.562,140.3457,5.092
238.00,29.295,148.8772,5.082
238.20,37.627,191.5214,5.09
238.40,27.617,140.5153,5.088
238.60,28.726,146.5026,5.1
238.80,27.549,140.4999,5.1
239.00,29.355,149.4757,5.092
239.20,37.607,191.57,5.094
239.40,27.608,140.6351,5.094
239.60,28.713,146.2066,5.092
239.80,27.581,140.3873,5.09
240.00,29.354,149.4119,5.09
240.20,37.493,190.9893,5.094
240.40,27.616,140.8416,5.1
240.60,28.707,146.2909,5.096
240.80,27.593,140.6139,5.096
241.00,29.399,149.4645,5.084
241.20,37.532,191.4132,5.1
241.40,27.621,140.8671,5.1
241.60,28.714,146.4988,5.102
241.80,27.606,140.7354,5.098
242.00,29.468,150.0511,5.092
242.20,37.47,191.172,5.102
242.40,27.63,140.913,5.1
242.60,28.713,146.3789,5.098
242.80,27.59,140.6538,5.098
243.00,29.491,149.9322,5.084
243.20,37.442,190.6547,5.092
243.40,27.612,140.6003,5.092
243.60,28.705,146.2233,5.094
243.80,27.599,140.6445,5.096
