Time (ms),USB Avg Current (mA),USB Avg Power (mW),USB Avg Voltage (V)
286.40,51.487,261.6569,5.082
286.60,49.352,250.7082,5.08
286.80,49.216,250.2141,5.084
287.00,49.204,249.8579,5.078
287.20,50.599,257.0429,5.08
287.40,51.549,261.8689,5.08
287.60,49.389,250.6986,5.076
287.80,49.179,250.026,5.084
288.00,49.204,250.0547,5.082
288.20,50.611,257.1039,5.08
288.40,51.5,261.826,5.084
288.60,49.364,250.5717,5.076
288.80,49.204,250.1531,5.084
289.00,49.117,249.3179,5.076
289.20,50.648,257.4944,5.084
289.40,51.537,261.6018,5.076
289.60,49.377,250.9339,5.082
289.80,49.241,250.0458,5.078
290.00,49.204,250.0547,5.082
290.20,50.623,257.2661,5.082
290.40,51.574,262.2022,5.084
290.60,49.34,250.9432,5.086
290.80,49.154,249.8989,5.084
291.00,49.204,250.1531,5.084
291.20,50.599,256.9417,5.078
291.40,51.487,261.348,5.076
291.60,49.377,250.7364,5.078
291.80,49.241,250.1443,5.08
292.00,49.191,249.8903,5.08
292.20,50.66,257.2515,5.078
292.40,51.599,262.2261,5.082
292.60,49.352,250.9056,5.084
292.80,49.228,249.8813,5.076
293.00,49.179,250.026,5.084
293.20,50.599,256.9417,5.078
293.40,51.574,262.0991,5.082
293.60,49.34,250.6472,5.08
293.80,49.154,249.5057,5.076
294.00,49.216,250.2141,5.084
294.20,50.66,257.0488,5.074
294.40,51.562,261.935,5.08
294.60,49.377,251.0327,5.084
294.80,49.216,250.0173,5.08
295.00,49.179,249.9277,5.082
295.20,50.636,256.9271,5.074
295.40,51.586,261.9537,5.078
295.60,49.315,250.7175,5.084
295.80,49.204,249.7595,5.076
296.00,49.179,249.8293,5.08
296.20,50.611,257.3063,5.084
296.40,51.586,261.9537,5.078
296.60,49.352,250.6095,5.078
296.80,49.216,250.1157,5.082
297.00,49.241,250.3412,5.084
297.20,50.648,257.3931,5.082
297.40,51.599,262.2261,5.082
297.60,49.327,250.6798,5.082
297.80,49.167,250.0634,5.086
298.00,49.154,249.5057,5.076
298.20,50.648,257.5957,5.086
298.40,51.599,262.1229,5.08
298.60,49.253,250.0082,5.076
298.80,49.241,249.9473,5.076
299.00,49.228,250.2752,5.084
299.20,50.66,257.5555,5.084
299.40,51.673,262.8089,5.086
299.60,49.34,250.4498,5.076
299.80,49.204,250.1531,5.084
300.00,49.253,250.3037,5.082
300.20,50.648,257.4944,5.084
300.40,51.549,262.0751,5.084
300.60,49.29,250.2946,5.078
300.80,49.179,249.9277,5.082
301.00,49.179,249.8293,5.08
301.20,50.636,257.0284,5.076
301.40,51.66,262.5361,5.082
301.60,49.29,250.1961,5.076
301.80,49.253,250.3037,5.082
302.00,49.216,250.0173,5.08
302.20,50.623,256.9624,5.076
302.40,51.623,262.4514,5.084
302.60,49.303,250.262,5.076
302.80,49.142,249.7396,5.082
303.00,49.278,250.4308,5.082
303.20,50.611,257.1039,5.08
303.40,51.574,261.8928,5.078
303.60,49.327,250.5812,5.08
303.80,49.315,250.7175,5.084
304.00,49.228,249.9798,5.078
304.20,50.697,257.6422,5.082
304.40,51.648,262.4751,5.082
304.60,49.29,250.2946,5.078
304.80,49.265,250.2662,5.08
305.00,49.253,250.4023,5.084
305.20,50.599,257.0429,5.08
305.40,51.623,262.3481,5.082
305.60,49.303,250.5578,5.082
305.80,49.154,249.7023,5.08
306.00,49.265,250.3647,5.082
306.20,50.697,257.6422,5.082
306.40,51.611,262.2871,5.082
306.60,49.34,250.7459,5.082
306.80,49.253,250.4023,5.084
307.00,49.253,250.5007,5.086
307.20,50.636,257.0284,5.076
